#{"t_start": 1704727824.6599307, "env_id": "edge_follow-v0"}
r,l,t
-57.646577,200,48.221275
-39.746637,200,94.976148
-50.262033,200,141.614891
-56.686836,200,189.674652
-49.292986,200,238.446247
-42.267078,200,288.275808
-44.084845,200,338.918735
-55.333955,200,388.237086
-44.149989,200,439.260668
-40.259243,200,488.322549
-67.470826,200,806.15532
-40.839322,200,855.929107
-41.557042,200,905.31729
-38.044883,200,955.275409
-44.116335,200,1005.19734
-41.447454,200,1055.327259
-38.942202,200,1105.120931
-53.430153,200,1154.867604
-45.637168,200,1205.097653
-39.44779,200,1254.927407
